,.html,.java,.py,.c,.cpp,.rb,.php
0,"""",.,.,",",),"""",","
1,>,(,),*,(,.,'
2,<,),(,),",",:,>
3,/,;,"""",(,;,",",$
4,=,",",",",;,:,',=
5,.,"""",=,-,*,),(
6,-,=,:,=,=,(,)
7,span,*,',>,.,=,-
8,;,},self,/,-,#,*
9,:,{,#,.,/,end,/
10,",",/,[,"""","""",/,;
11,a,@,],{,>,[,.
12,data,import,-,},{,],\
13,class,public,\,0,},{,[
14,),the,/,&,<,},]
15,(,return,the,if,&,>,array
16,ï¿½,>,def,[,if,-,:
17,li,<,0,],0,do,this
18,{,String,if,+,[,\,{
19,},-,1,struct,+,the,}
20,%,\,in,the,],to,""""
21,',new,{,:,return,<,@
22,&,org,},return,const,|,the
23,bytes,if,return,#,1,def,1000
24,cp,:,for,1,the,@,0
25,div,this,is,int,#,?,return
26,href,+,*,<,!,if,if
27,code,0,None,\,i,it,<
28,td,private,a,%,0x18AD,a,function
29,html,null,to,0x00,int,expect,public
30,org,int,+,|,',1,to
31,the,final,import,!,|,+,Magento
32,#,void,%,i,void,0,param
33,0,[,not,static,to,^,of
34,apache,],>,',for,is,1
35,title,to,of,to,\,new,string
36,iceberg,static,and,n,std,name,class
37,p,&,2,for,include,true,a
38,nbsp,1,s,void,auto,of,shape
39,ul,of,from,ret,h,user,use
